"","RUN","TR","CU","FNAM","PDAT","HWAH","w"
"1",1052,2,1,"ZASP0002",2007303,1139,0.45
"2",1145,5,1,"ZASP0002",2007348,1797,0.45
"3",1207,7,1,"ZASP0002",2008013,2978,0.45
"4",1300,10,2,"ZASP0002",2007303,1143,0.45
"5",1393,13,2,"ZASP0002",2007348,2580,0.45
"6",1455,15,2,"ZASP0002",2008013,2416,0.45
"7",1548,18,3,"ZASP0002",2007303,1643,0.45
"8",1641,21,3,"ZASP0002",2007348,2742,0.45
"9",1703,23,3,"ZASP0002",2008013,3849,0.45
"10",1796,26,4,"ZASP0002",2007303,2104,0.45
"11",1889,29,4,"ZASP0002",2007348,3022,0.45
"12",1951,31,4,"ZASP0002",2008013,3455,0.45
"13",2044,2,1,"ZASP0003",2007303,2424,0.45
"14",2137,5,1,"ZASP0003",2007348,3122,0.45
"15",2199,7,1,"ZASP0003",2008013,4058,0.45
"16",2292,10,2,"ZASP0003",2007303,2644,0.45
"17",2385,13,2,"ZASP0003",2007348,3577,0.45
"18",2447,15,2,"ZASP0003",2008013,3907,0.45
"19",2540,18,3,"ZASP0003",2007303,3824,0.45
"20",2633,21,3,"ZASP0003",2007348,4438,0.45
"21",2695,23,3,"ZASP0003",2008013,5181,0.45
"22",2788,26,4,"ZASP0003",2007303,4295,0.45
"23",2881,29,4,"ZASP0003",2007348,4883,0.45
"24",2943,31,4,"ZASP0003",2008013,5224,0.45
